id,handle,created_at,text,cleaned_text
1514966458371305477,OrichalSco,2022-04-15 13:58:45+00:00,"3) The Solana ecosystem has been one of the main beneficiaries from developers and traders seeking an alternative to the high transaction fees on Ethereum. In January, Research by JPMorgan noted that Ethereum's NFT market share dropped to 80% compared to 95% a year earlier. #ETH",3 solana ecosystem one main beneficiaries developers traders seeking alternative high transaction fees ethereum january research jpmorgan noted ethereums nft market share dropped 80 compared 95 year earlier eth
1514966454789189639,cotti_fi,2022-04-15 13:58:44+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/meemBjX7UW",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966436904640515,MCStaker,2022-04-15 13:58:39+00:00,"🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥
🔥🔥2 MINUTES LEFT TO LAUNCH🔥🔥

#AVAX #FTM  #ONE #HarmonyONE #Harmony #crypto #avalanche #matic #bnb #bitcoin #ethereum #Doge #crypto #DeFi #cryptocurrecy #CryptoNews",2 minutes left launch2 minutes left launch2 minutes left launch2 minutes left launchavax ftm one harmonyone harmony crypto avalanche matic bnb bitcoin ethereum doge crypto defi cryptocurrecy cryptonews
1514966428142739460,cotti_fi,2022-04-15 13:58:37+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/LE88bXn5wG",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966426553098245,barbossa144467,2022-04-15 13:58:37+00:00,"I m new, do you have any tipps for me? 
#NFTCommunity #NFTs #NFTGiveaways #Ethereum #Solana #AVAX #Cardano #btc #crypto #Jack Dorsey",new tipps nftcommunity nfts nftgiveaways ethereum solana avax cardano btc crypto jack dorsey
1514966403790606337,cotti_fi,2022-04-15 13:58:32+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/jMZ0vmsZ4f",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966399130681345,whitmore2800,2022-04-15 13:58:30+00:00,"$inari hard to believe there's lesson 1800 holders of this #100xgem
192 Ethereum buyback.
15 Ethereum immediate buy and burn.
#metaverse launch
#NFT
#P2E
#social platform
 @TokenInari #inariraffle https://t.co/fHqi4A6dMD",inari hard believe theres lesson 1800 holders 100xgem192 ethereum buyback15 ethereum immediate buy burnmetaverse launchnftp2esocial platform tokeninari inariraffle
1514966392600408065,SotonAhamed5,2022-04-15 13:58:29+00:00,@EthaxCrypto The biggest project with a is strong team. I really love to the part of this ETHAX great project. I am sure this project will reach successful. Their community is getting bigger and bigger everyday.#DeFi #ethax #ethaxcrypto #ethaxtoken #DEX #cryptocurrency #Ethereum,ethaxcrypto biggest project strong team really love part ethax great project sure project reach successful community getting bigger bigger everydaydefi ethax ethaxcrypto ethaxtoken dex cryptocurrency ethereum
1514966379379806209,Cryptoangelspr1,2022-04-15 13:58:26+00:00,can't wait🔥🔥#bullish #NFTCommunity #NFTGiveaways #Ethereum #OpenSeaNFT #NFTProject https://t.co/wGFFlSOqTE,cant waitbullish nftcommunity nftgiveaways ethereum openseanft nftproject
1514966363634376706,securitiesio,2022-04-15 13:58:22+00:00,"A Snag In The Path Towards ‘The Merge’ But It’s Almost Here, Ethereum Dev Clarifies https://t.co/0ZtX4K2iFR #ethereum #EthereumNews",snag path towards merge almost ethereum dev clarifies ethereum ethereumnews
1514966353496743938,moladad99,2022-04-15 13:58:20+00:00,"🔔𝟭,𝟯𝟲𝟬,𝟴𝟬𝟬 𝗽𝗵𝗼𝘁𝗼𝘀 𝗶𝗻 𝗼𝗻𝗲 𝗽𝗵𝗼𝘁𝗼

this is a rare designed photo of 21 photos, each of which was repeated 72 times and all of them were repeated 900 more times

https://t.co/ZmHgYf89Or

#nft #NFTs #NFTCommunity #art #nftart #eth #Ethereum #NFTartist https://t.co/P08Ie4YVLA",rare designed photo 21 photos repeated 72 times repeated 900 timesnft nfts nftcommunity art nftart eth ethereum nftartist
